40N||1||1||10	LIBRO de la generacion de Jesu-Cristo, hijo de David, hijo de Abraham.
40N||1||2||20	Abraham engendró á Isaac: é Isaac engendró á Jacob: y Jacob engendró á Júdas y á sus hermanos:
40N||1||3||30	Y Júdas engendró de Thamar á Pháres y á Zara: y Pháres engendró á Esrom: y Esrom engendró á Aram:
40N||1||4||40	Y Aram engendró á Aminadab: y Aminadab engendró á Naason: y Naason engendró á Salmon:
40N||1||5||50	Y Salmon engendró de Rahab á Bóoz: y Bóoz engendró de Ruth á Obed: y Obed engendró á Jessé:
40N||1||6||60	Y Jessé engendró al rey David: y el rey David engendró á Salomon de la [que fué mujer] de Urías:
40N||1||7||70	Y Salomon engendró á Roboam: y Roboam engendró á Abia: y Abia engendró á Asá:
40N||1||8||80	Y Asá engendró á Josaphat: y Josaphat engendró á Joram: y Joram engendró á Ozías:
40N||1||9||90	Y Ozías engendró á Joatam: y Joatam engendró á Achaz: y Achaz engendró á Ezechias: 
40N||1||10||100	Y Ezechias engendró á Manasés: y Manasés engendró á Amon: y Amon engendró á Josías: 
40N||1||11||110	Y Josías engendró á Jeconías y á sus hermanos, en la trasmigracion de Babilonia: 
40N||1||12||120	Y despues de la trasmigracion de Babilonia, Jeconías engendró á Salatiel: y Salatiel engendró á Zorobabel: 
40N||1||13||130	Y Zorobabel engendró á Abiud: y Abiud engendró á Eliaquim: y Eliaquim engendró á Azor: 
40N||1||14||140	Y Azor engendró á Sadoc: y Sadoc engendró á Aquim: y Aquim engendró á Eliud: 
40N||1||15||150	Y Eliud engendró á Eleázar: y Eleázar engendró á Matan: y Matan engendró á Jacob: 
40N||1||16||160	Y Jacob engendró á José, marido de María, de la cual nació Jesus, el cual es llamado el Cristo. 
40N||1||17||170	De manera que todas las generaciones desde Abraham hasta David, [son] catorce generaciones: y desde David hasta la trasmigracion de Babilonia, catorce generaciones: y desde la trasmigracion de Babilonia hasta Cristo, catorce generaciones. 
40N||1||18||180	Y el nacimiento de Jesu-Cristo fué así: que siendo María su madre desposada con José, ántes que se juntasen, se halló haber concebido del Espíritu Santo. 
40N||1||19||190	Y José su marido, como era justo y no quisiese infamarla, quiso dejarla secretamente. 
40N||1||20||200	Y pensando él en esto, hé aquí el ángel del Señor le aparece en sueños, diciendo: José, hijo de David, no temas de recibir á María tu mujer: porque lo que en ella es engendrado, del Espíritu Santo es. 
40N||1||21||210	Y parirá Hijo, y llamarás su nombre JESUS, porque él salvará su pueblo de sus pecados. 
40N||1||22||220	Todo esto aconteció para que se cumpliese lo que fué dicho por el Señor por el profeta, que dijo: 
40N||1||23||230	Hé aquí la vírgen concebirá, y parirá hijo, y llamarás su nombre Emmanuel, que declarado es: Con nosotros Dios. 
40N||1||24||240	Y despertando José del sueño, hizo como el ángel del Señor le habia mandado, y recibió á su mujer. 
40N||1||25||250	Y no la conoció hasta que parió á su Hijo primogénito: y llamó su nombre JESUS.
40N||2||1||260	Y COMO fué nacido Jesus en Bethlehem de Judéa en dias del rey Heródes, hé aquí unos magos vinieron del Oriente á Jerusalem,
40N||2||2||270	Diciendo: ¿Dónde está el Rey de los Judíos, que ha nacido? porque su estrella hemos visto en el Oriente, y venimos á adorarle.
40N||2||3||280	Y oyendo [esto] el rey Heródes, se turbó, y toda Jerusalem con él.
40N||2||4||290	Y convocados todos los príncipes de los sacerdotes, y los escribas del pueblo, les preguntó donde habia de nacer el Cristo.
40N||2||5||300	Y ellos le dijeron: En Bethlehem de Judéa; porque así está escrito por el profeta:
40N||2||6||310	Y tu Bethlehem, [de] tierra de Judá, no eres muy pequeña entre los príncipes de Judá; porque de tí saldrá un Guiador, que apacentará á mi pueblo Israel.
40N||2||7||320	Entónces Heródes, llamando en secreto á los magos, entendió de ellos diligentemente el tiempo del aparecimiento de la estrella;
40N||2||8||330	Y enviándoles á Bethlehem, dijo: Andad allá, y preguntad con diligencia por el Niño; y despues que lo hallareis, hacédmelo saber, para que yo tambien vaya y le adore.
40N||2||9||340	Y ellos, habiendo oido al rey, se fueron: y hé aquí la estrella que habian visto en el Oriente, iba delante de ellos, hasta que llegando, se puso sobre donde estaba el Niño. 
40N||2||10||350	Y vista la estrella, se regocijaron con muy grande gozo. 
40N||2||11||360	Y entrando en la casa, vieron el Niño con su madre María, y postrándose lo adoraron: y abriendo sus tesoros, le ofrecieron dones, oro, é incienso, y mirra. 
40N||2||12||370	Y siendo avisados por revelacion en sueños, que no volviesen á Heródes, se volvieron á su tierra por otro camino. 
40N||2||13||380	Y partidos ellos, hé aquí el ángel del Señor aparece en sueños á José diciendo: Levántate, y toma al Niño y á su madre, y huye á Egipto, y estate allá hasta que yo te [lo] diga: porque ha de acontecer, que Heró des buscara al Niño para matarlo. 
40N||2||14||390	Y él despertando, tomó al Niño y á su madre de noche, y se fué á Egipto: 
40N||2||15||400	Y estuvo allá hasta la muerte de Heródes; para que se cumpliese lo que fué dicho por el Señor por el profeta, que dijo: De Egipto llamé á mi Hijo. 
40N||2||16||410	Heródes entónces, como se vió burlado de los magos, se enojó mucho: y envió, y mató todos los niños que habia en Bethlehem, y en todos sus términos, de edad de dos añ os abajo, conforme al tiempo que habla entendido de los magos. 
40N||2||17||420	Entónces fué cumplido lo que se habia dicho por el profeta Jeremías, que dijo: 
40N||2||18||430	Voz fué oida en Ramá, grande lamentacion, lloro, y gemido; Rachel que llora sus hijos; y no quiso ser consolada, porque perecieron. 
40N||2||19||440	Mas muerto Heródes, hé aquí el ángel del Señor aparece en sueños á José en Egipto, 
40N||2||20||450	Diciendo: Levántate, y toma al Niño, y á su madre, y vete á tierra de Israel; que muertos son los que procuraban la muerte del Niño. 
40N||2||21||460	Entónces él se levantó y tomó al Niño, y á su madre, y se vino á tierra de Israel. 
40N||2||22||470	Y oyendo que Arqueláo reinaba en Judéa en lugar de Heródes su padre, temió ir allá; mas amonestado por revelacion en sueños, se fué á las partes de Galiléa. 
40N||2||23||480	Y vino, y habitó en la ciudad que se llama Nazaret: para que se cumpliese lo que fué dicho por los profetas, que habia de ser llamado Nazareno.
40N||3||1||490	EN aquellos dias vino Juan el Bautista predicando en el desierto de Judéa,
40N||3||2||500	Y diciendo: Arrepentíos, que el reino de los cielos se ha acercado.
40N||3||3||510	Porque este es aquel del cual fué dicho por el profeta Isaías, que dijo: Voz de uno que clama en el desierto: Aparejad el camino del Señor, enderezad sus veredas.
40N||3||4||520	Y tenia Juan su vestido de pelos de camellos, y una cinta de cuero alrededor de sus lomos, y su comida era langostas, y miel silvestre.
40N||3||5||530	Entónces salia á el Jerusalem y toda Judéa, y toda la provincia de alrededor del Jordan;
40N||3||6||540	Y eran bautizados de él en el Jordan, confesando sus pecados.
40N||3||7||550	Y viendo él muchos de los Fariséos y de los Saducéos, que venian á su bautismo, decíales: Generacion de víboras, ¿quién os ha enseñado á huir de la ira que vendrá?
40N||3||8||560	Haced pues frutos dignos de arrepentimiento;
40N||3||9||570	Y no penseis decir dentro de vosotros: A Abraham tenemos por padre: porque yo os digo, que puede Dios despertar hijos á Abraham aun de estas piedras. 
40N||3||10||580	Ahora, ya tambien la segur está puesta á la raiz de los árboles; y todo árbol que no hace buen fruto, es cortado y echado en el fuego. 
40N||3||11||590	Yo á la verdad os bautizo en agua para arrepentimiento: mas el que viene tras mí, mas poderoso es que yo; los zapatos del cual yo no soy digno de llevar: él os bautizará en Espíritu Santo, y [en] fuego. 
40N||3||12||600	Su aventador en su mano [está,] y aventará su era; y allegará su trigo en el alfolí, y quemará la paja en fuego que nunca se apagará. 
