40N||1||1||10	Книга родоводу Ісуса Христа, сина Давидового, сина Авраамового.
40N||1||2||20	Авраам породив Ісаака; а Ісаак породив Якова; а Яков породив Юду та братів його;
40N||1||3||30	а Юда породив Фареса та Зару від Тамари; а Фарес породив Єсрома; а Єсром породив Арама;
40N||1||4||40	а Арам породив Аминадава; а Амннадав породив Насона; а Насон погодив Салмона;
40N||1||5||50	а Салмон породив Вооза від Рахави; а Вооз породив Овида від Рути; а Овид породив Єссея;
40N||1||6||60	а Єссей породив Давида царя; а Давид цар породив Соломона від Урієвої;
40N||1||7||70	а Соломон породив Ровоама; а Ровоам породив Авію; а Авія породив Асу;
40N||1||8||80	а Аса породив Йосафата; а Йосафат породив Йорама; а Йорам породив Озію;
40N||1||9||90	а Озія породив Йоатама; а Йоатам породив Ахаза; а Ахаз породив Єзекію;
40N||1||10||100	а Єзекія породив Манассію, а Манассія породив Амона; а Амон породив Йосію;
40N||1||11||110	а Йосія породив Єхонїю та братів його, під час переселення у Вавилон;
40N||1||12||120	а після того, як переселено їх у Вавидон, Єхонїя породив Салатиїла, а Салатиїл породив Зоровавеля;
40N||1||13||130	а Заровавель породив Авіюда; а Авіюд породив Єліякима; а бліяким породив Азора;
40N||1||14||140	а Азор породив Садока; а Садок породив Ахима; а Ахим породив Єліюда;
40N||1||15||150	а Єліюд породив Єліазара; а Єліазар породив Маттана; а Маттан породив Якова;
40N||1||16||160	а Яков породив ЙосиФа, чоловіка Мариїного, що від неї родивсь Ісус, на прізвище Христос.
40N||1||17||170	То всїх родів од Авраама до Давида чотирнайцять родів; а від Давида до переселення у Вавилон чотирнайцять родів; і від переселення у Вавилон до Христа чотирнайцять родів.
40N||1||18||180	Різдво ж Ісуса Христа стало ся так. Скоро Його матїр Марию заручено Иосифові, перш ніж вони зійшли ся, постережено, що вона пала в утробі від сьвятого Духа.
40N||1||19||190	Йосиф же, чоловік її, будучи праведний, і не хотячи ославити її, хотїв був потай відпустити її.
40N||1||20||200	Та як він про се думав, аж ось явивсь йому вві снї ангел Господень, глаголючи: Йосифе, сину Давидів, не бій ся взяти до себе Марию, жінку твою; бо що в нїй зачалось, те від сьвятого Духа.
40N||1||21||210	І вродить вона сина, і даси йому імя Ісус; бо він спасе людей своїх од гріхів їх.
40N||1||22||220	Усе ж се стало ся, щоб справдилось, що промовив Господь через пророка, глаголючи:
40N||1||23||230	Ось дїва матиме в утробі, і вродить сина, і дадуть йому імя Емануіл, що перекладом є: 3 нами Бог.
40N||1||24||240	Прокинувшись тодї Йосиф од сна, зробив так, як ангел Господень повелїв йому, й узяв до себе жінку свою;
40N||1||25||250	і не знав її, аж поки вона вродила сина свого перворідня, і дав йому імя Ісус.
40N||2||1||260	Як же народивсь Ісус у Витлеемі Юдейському за царя Ірода, прийшли мудрцї зі сходу в Єрусалим,
40N||2||2||270	говорячи: Де нарождений цар Жидівський? бачили бо ми зорю його на сході, й прийшли поклонитись йому.
40N||2||3||280	Почувши ж цар Ірод, стрівожив ся, і ввесь Єрусалим із ним.
40N||2||4||290	І, зібравши всіх архиєреїв і письменників людьских, допитував ся в них, де Христу родити ся.
40N||2||5||300	Вони ж казали йому: В Витлеемі Юдейському, бо ось як написано в пророка:
40N||2||6||310	І ти, Витлееме, земле Юдина, нїчим не гірша єси між князями Юдиними; бо з тебе прийде гетьман, що страшинувати ме над народом моїм Ізраїлем.
40N||2||7||320	Закликавши тодї Ірод тайкома мудрцїв, пильно в них випитував, якого часу показалась зоря.
40N||2||8||330	І послав їх у Витлеєм, і каже: Йдїть та розпитайтесь пильно про те хлопятко; а як знайдете, принесіть менї звістку, щоб і мені пійти поклонитись йому.
40N||2||9||340	Вони ж, вислухавши царя, вийшли; коли се зоря, що бачили на сходї, йде поперед них, поки прийшла та й стала зверху, де було хлопятко.
40N||2||10||350	Побачивши ж вони зорю, зрадїли вельми великою радостю.
40N||2||11||360	І, ввійшовши в господу, знайшли хлопятко з Мариєю, матїрю його, й, припавши, поклонились йому; й, відкривши скарби свої, піднесли йому дари: золото, ладан і миро.
40N||2||12||370	І, бувши остережені вві снї, не вертатись до Ірода, вернулись в свою землю иншим шляхом.
40N||2||13||380	Як же вони вийшли, ось ангел Господень являєть ся Йосифові вві снї, глаголючи: Встань, візьми хлопятко й матір його, та втїкай в Єгипет, і перебудь там, поки сповіщу тебе; бо Ірод шукати ме хлопятка, щоб убити його.
40N||2||14||390	Він же, вставши, взяв хлопятко й матїр його в ночі, та й пійшов у Єгипет.
40N||2||15||400	І пробував там аж до смерти Іродової, щоб справдилось, що сказав Господь через пророка, глаголючи: Із Єгипту покликав я сина мого.
40N||2||16||410	Бачивши тоді Ірод, що мудрцї насьміялись із него, розлютував ся вельми, та й послав повбивати всїх дїтей у Витлеємі й у всіх гряницях його, од двох років і меньще, по тому часу, що про него він пильно довідував ся в мудрцїв.
40N||2||17||420	Тоді справдилось, що промовив Єремія пророк, глаголючи:
40N||2||18||430	Чути в Рамі голосїннє і плач і тяжке наріканнє: Рахила плаче по дітях своїх, і не дає розважати себе, бо їх нема вже.
40N||2||19||440	Як же вмер Ірод, ось являєть ся ангел Господень уві снї Йосифу в Єгиптї,
40N||2||20||450	глаголючи: Устань, та візьми хлопятко й матїр його, та йди в землю Ізраїлеву: бо ті померли, що шукали душі хлопятка.
40N||2||21||460	І встав він, і взяв хлопятко й матір його, та й пійшов у землю Ізраїлеву.
40N||2||22||470	Та, почувши, що Архелай царюв в Юдеї замість батька свого Ірода, побоявсь ійти туди; а, бувши остережений уві снї, звернув у сторони Галилейські:
40N||2||23||480	і, прийшовши, жив у городі, що його звали Назарет, щоб справдилось сказане в пророків: Що звати меть ся Назореєм.
40N||3||1||490	Того часу прийшов Йоан Хреститель, проповідуючи в пустинї Юдейській,
40N||3||2||500	і глаголючи: Покайтесь: наближилось бо царство небесне.
40N||3||3||510	Се ж бо той, про кого казав пророк Ісаїя, глаголючи: Голос покликуючого в пустині: Приготовте дорогу Господню, правими робіть стежки Його.
40N||3||4||520	Сам же Йоан мав одежу свою з верблюжого волосу, й шкуряний пояс на поясниш своїй; а їдою його була сарана та дикий мед.
40N||3||5||530	Тодї виходили до него Єрусалим, і вся Юдея, і вся околиця Йорданська,
40N||3||6||540	і хрестились в Йордані від него, сповідаючи гріхи свої.
40N||3||7||550	Та, бачивши він, що багато Фарисеїв і Садукеїв приходило до хрещення його, сказав до них: Кодло гадюче, хто остеріг вас, щоб утікали від настигаючого гнїва?
40N||3||8||560	Принесіть же овощ достойний покаяння;
40N||3||9||570	і не думайте казати в серці своєму: В нас батько Авраам; бо я вам важу, що Бог зможе з сього каміння підняти дїтей Авраамові.
40N||3||10||580	Вже ж і сокира коло кореня дерева лежить; тим кожне дерево, що не дає доброго овощу, зрубують, та й кидають ув огонь.
40N||3||11||590	Я оце хрещу вас водою на покаянне; а Той, що йде за мною, потужніщий від мене; недостоєн я Йому й обувя носити: Він вас хрестити ме Духом сьвятим та огнем.
40N||3||12||600	У руці в Него лопата, й перечистить Він тік свій, і збере пшеницю свою в клуню, а полову спалить огнем невгасимим.
40N||3||13||610	Приходить тоді Ісус із Галилеї на Йордан до Йоана, охреститись від него.
40N||3||14||620	Та Йоан не допускав Його, говорячи: Менї самому треба в Тебе хреститись, а Ти прийшов до мене?
40N||3||15||630	Відказуючи йому Ісус, рече до него: Допусти тепер, бо тав годиться нам чинити всяку правду. Тодї допустив Його.
40N||3||16||640	І охрестившись Ісус, вийшов зараз із води; й ось відчинилось Йому небо, і побачив він Духа Божого, що спустивсь як голуб, і злинув на Него.
40N||3||17||650	І ось голос із неба, глаголючи: Се мій Син любий, що я вподобав Його.
40N||4||1||660	Тоді повів Ісуса дух у пустиню на спокусу дияволську.
40N||4||2||670	І постив він сорок днів і сорок ночей, потім забажав їсти.
40N||4||3||680	І прийшовши спокусник до Него, каже: Коли ти Син Божий, звели сим камінням зробитись хлїбом.
40N||4||4||690	Він же, озвавшись, сказав: Писано: Не самим хлїбом жити ме чоловік, а кожним словом, що виходить із уст Божих.
40N||4||5||700	Тоді диявол бере Його в сьвятий город, і ставить Його на церковнім крилі,
40N||4||6||710	І каже до Него: Коли ти Син Божий, кинь ся вниз, писано бо: Що накаже про Тебе ангелам своїм, і на руках понесуть Тебе, щоб не вдаривсь часом об камїнь ногою Твоєю.
40N||4||7||720	Рече йому Ісус: Писано знов: Не спокушуй Господа Бога твого,
40N||4||8||730	Знов бере Його диявол на гору височенну, й показує Йому всі царства на сьвітї й славу їх;
40N||4||9||740	і каже до Него: Оце все дам тобі, коли, припавши, поклониш ся менї.
40N||4||10||750	Рече тодї йому Ісус: Геть від мене, сатано! писано бо: Господу Богу твоєму кланяти меш ся, і Йому одному служити меш.
40N||4||11||760	Зоставив тоді Його диявол, і ось ангели приступили й служили Йому.
40N||4||12||770	Як же почув Ісус, що Йоана видано, то перейшов у Галилею;
40N||4||13||780	і, покинувши Назарет, пійшов і пробував у Капернауміу що при морю, у гряницях Завулона та Нефталима:
40N||4||14||790	щоб справдилось слово Ісаії пророка, глаголючого:
40N||4||15||800	Земля Завулон і земля Нефталим, на морському шляху, за Йорданом, Галидея поганська;
40N||4||16||810	люде сидячі в темряві побачили сьвітло велике, й тим, що сидять у країні й тїнї смертній, зассяло сьвітло.
40N||4||17||820	3 того часу почав Ісус проповідувати й глаголати: Покайтесь, наближилось бо царство небесне.
40N||4||18||830	І, йдучи Ісус попри море Галилейське, побачив двох братів, Симона, званого Петром, та Андрея, брата його, що закидали невід у море; були бо рибалки.
40N||4||19||840	І промовив до них: Ідїть за мною, то зроблю вас ловцями людськими.
40N||4||20||850	Вони ас зараз, покинувши неводи свої, пійшли слідом за Ним.
